
id;pos_x;pos_y;pos_z;degree;isAtSampleBorder
0;0.315357;0.147639;0;1;1
1;0.3252;0.147639;0;1;1
2;0.307483;0.148033;0;1;1
3;0.272444;0.161025;0;1;1
4;0.359059;0.172836;0;1;1
5;0.192522;0.201971;0;1;1
6;0.36772;0.205908;0;1;1
7;0.289767;0.217719;0;1;1
8;0.179136;0.219294;0;1;1
9;0.308664;0.219294;0;1;1
10;0.318507;0.222049;0;1;1
11;0.287011;0.222443;0;1;1
12;0.326775;0.223231;0;1;1
13;0.17638;0.224018;0;1;1
14;0.334255;0.238191;0;1;1
15;0.376775;0.241341;0;1;1
16;0.320476;0.246853;0;1;1
17;0.321657;0.246853;0;1;1
18;0.383075;0.249609;0;1;1
19;0.321263;0.250396;0;1;1
20;0.319295;0.252758;0;1;1
21;0.31142;0.254727;0;1;1
22;0.323625;0.257089;0;1;1
23;0.320082;0.257877;0;1;1
24;0.321657;0.25827;0;1;1
25;0.165356;0.262995;0;1;1
26;0.283467;0.267719;0;1;1
27;0.326775;0.271656;0;1;1
28;0.324413;0.272444;0;1;1
29;0.321657;0.273625;0;1;1
30;0.322444;0.273625;0;1;1
31;0.319688;0.274806;0;1;1
32;0.312602;0.277168;0;1;1
33;0.282286;0.280711;0;1;1
34;0.302759;0.281105;0;1;1
35;0.307877;0.283074;0;1;1
36;0.276774;0.288192;0;1;1
37;0.278743;0.289767;0;1;1
38;0.270869;0.291341;0;1;1
39;0.283861;0.292523;0;1;1
40;0.209057;0.293704;0;1;1
41;0.280318;0.298822;0;1;1
42;0.206301;0.30394;0;1;1
43;0.207482;0.309452;0;1;1
44;0.238979;0.31142;0;1;1
45;0.202364;0.311814;0;1;1
46;0.239372;0.312208;0;1;1
47;0.272444;0.313783;0;1;1
48;0.20512;0.31457;0;1;1
49;0.242916;0.31457;0;1;1
50;0.243309;0.315751;0;1;1
51;0.390555;0.316145;0;1;1
52;0.302365;0.316539;0;1;1
53;0.321263;0.316539;0;1;1
54;0.266932;0.31772;0;1;1
55;0.388193;0.318901;0;1;1
56;0.249215;0.319295;0;1;1
57;0.26457;0.320476;0;1;1
58;0.324413;0.320476;0;1;1
59;0.383862;0.321263;0;1;1
60;0.311027;0.32205;0;1;1
61;0.312208;0.323232;0;1;1
62;0.263782;0.323625;0;1;1
63;0.253546;0.324806;0;1;1
64;0.312995;0.324806;0;1;1
65;0.373232;0.324806;0;1;1
66;0.357484;0.325594;0;1;1
67;0.381894;0.329925;0;1;1
68;0.209451;0.330318;0;1;1
69;0.210632;0.332287;0;1;1
70;0.369689;0.335043;0;1;1
71;0.372445;0.335436;0;1;1
72;0.318507;0.33583;0;1;1
73;0.233073;0.342523;0;1;1
74;0.231498;0.343704;0;1;1
75;0.327956;0.346854;0;1;1
76;0.347248;0.348429;0;1;1
77;0.334255;0.349216;0;1;1
78;0.256302;0.350003;0;1;1
79;0.17008;0.350397;0;1;1
80;0.330318;0.352759;0;1;1
81;0.168899;0.353153;0;1;1
82;0.337799;0.353547;0;1;1
83;0.259058;0.357484;0;1;1
84;0.337011;0.359452;0;1;1
85;0.22953;0.359846;0;1;1
86;0.26142;0.36024;0;1;1
87;0.332287;0.361027;0;1;1
88;0.16575;0.361421;0;1;1
89;0.210238;0.362208;0;1;1
90;0.224018;0.362208;0;1;1
91;0.348035;0.362208;0;1;1
92;0.222049;0.362602;0;1;1
93;0.338192;0.362602;0;1;1
94;0.34961;0.363389;0;1;1
95;0.258664;0.364571;0;1;1
96;0.26457;0.365358;0;1;1
97;0.359846;0.367326;0;1;1
98;0.161419;0.368114;0;1;1
99;0.226774;0.368114;0;1;1
100;0.267325;0.369295;0;1;1
101;0.164569;0.370082;0;1;1
102;0.223624;0.37087;0;1;1
103;0.25079;0.37087;0;1;1
104;0.340555;0.37087;0;1;1
105;0.360633;0.371264;0;1;1
106;0.340161;0.371657;0;1;1
107;0.224412;0.372051;0;1;1
108;0.351578;0.372051;0;1;1
109;0.171262;0.372445;0;1;1
110;0.176773;0.375201;0;1;1
111;0.351578;0.375201;0;1;1
112;0.274412;0.377957;0;1;1
113;0.252365;0.37835;0;1;1
114;0.275593;0.379531;0;1;1
115;0.251971;0.381894;0;1;1
116;0.259058;0.383075;0;1;1
117;0.251577;0.385437;0;1;1
118;0.298428;0.386618;0;1;1
119;0.26457;0.387405;0;1;1
120;0.285042;0.387799;0;1;1
121;0.252758;0.388587;0;1;1
122;0.266538;0.388587;0;1;1
123;0.271263;0.390949;0;1;1
124;0.276381;0.394098;0;1;1
125;0.273231;0.398429;0;1;1
126;0.293704;0.398823;0;1;1
127;0.271656;0.400398;0;1;1
128;0.302759;0.402366;0;1;1
129;0.233861;0.36024;0.000787409;1;0
130;0.160632;0.264176;0.00118111;1;0
131;0.294491;0.274412;0.00118111;1;0
132;0.313783;0.331893;0.00118111;1;0
133;0.283861;0.394886;0.00118111;1;0
134;0.251971;0.39213;0.00157482;1;0
135;0.212994;0.32835;0.00196852;1;0
136;0.270869;0.163387;0.00236223;1;0
137;0.383075;0.250396;0.00236223;1;0
